member,seat,hipClearance,kneeTarget,handError,maxHandError,leftKnee,rightKnee,chairPenetrations,cushion,upperLeg,torso,rail,stem,leanDegrees,workClock
player,seat_father,0.1130,95.0000,0.0000,0.0000,95.0000,95.0001,0,0,0,0,0,0,19.8499,0.7000
player,seat_father,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,19.6106,0.7250
player,seat_father,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,19.3457,0.7500
player,seat_father,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,19.0723,0.7750
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,18.7817,-0.0250
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,18.7817,0.0000
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0001,95.0000,0,0,0,0,0,0,18.5083,0.0250
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,94.9999,0,0,0,0,0,0,18.2520,0.0500
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0001,95.0000,0,0,0,0,0,0,18.0212,0.0750
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0001,94.9999,0,0,0,0,0,0,17.8162,0.1000
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0001,95.0000,0,0,0,0,0,0,17.6624,0.1250
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,94.9999,0,0,0,0,0,0,17.5427,0.1500
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,95.0001,0,0,0,0,0,0,17.4744,0.1750
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,17.4487,0.2000
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,95.0001,0,0,0,0,0,0,17.4744,0.2250
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,95.0001,0,0,0,0,0,0,17.5427,0.2500
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0001,95.0000,0,0,0,0,0,0,17.6624,0.2750
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,17.8162,0.3000
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,18.0212,0.3250
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,95.0001,0,0,0,0,0,0,18.2520,0.3500
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0001,95.0000,0,0,0,0,0,0,18.5083,0.3750
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,95.0001,0,0,0,0,0,0,18.7817,0.4000
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,95.0002,0,0,0,0,0,0,19.0637,0.4250
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,19.3457,0.4500
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,19.6106,0.4750
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0001,94.9999,0,0,0,0,0,0,19.8499,0.5000
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,94.9999,0,0,0,0,0,0,20.0464,0.5250
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,95.0001,0,0,0,0,0,0,20.1917,0.5500
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,94.9999,0,0,0,0,0,0,20.2856,0.5750
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,20.3198,0.6000
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,20.2856,0.6250
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,20.1917,0.6500
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,20.0464,0.6750
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0001,95.0001,0,0,0,0,0,0,19.8499,0.7000
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,19.6106,0.7250
player,seat_mother,0.1130,95.0000,0.0000,0.0000,94.9999,95.0001,0,0,0,0,0,0,19.3457,0.7500
player,seat_mother,0.1130,95.0000,0.0000,0.0000,95.0001,95.0001,0,0,0,0,0,0,19.0723,0.7750
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,94.9999,94.9999,0,0,0,0,0,0,18.7817,-0.0250
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,94.9999,94.9999,0,0,0,0,0,0,18.7817,0.0000
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,18.5083,0.0250
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0000,94.9999,0,0,0,0,0,0,18.2520,0.0500
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,94.9999,95.0000,0,0,0,0,0,0,18.0212,0.0750
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,17.8162,0.1000
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,17.6624,0.1250
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,17.5427,0.1500
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0001,95.0001,0,0,0,0,0,0,17.4744,0.1750
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,17.4487,0.2000
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0001,94.9999,0,0,0,0,0,0,17.4744,0.2250
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,17.5427,0.2500
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,17.6624,0.2750
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0001,95.0000,0,0,0,0,0,0,17.8162,0.3000
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,94.9999,95.0002,0,0,0,0,0,0,18.0127,0.3250
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,94.9999,95.0001,0,0,0,0,0,0,18.2520,0.3500
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,18.5083,0.3750
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,18.7817,0.4000
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0001,95.0001,0,0,0,0,0,0,19.0637,0.4250
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,19.3457,0.4500
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,94.9999,95.0001,0,0,0,0,0,0,19.6106,0.4750
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0001,95.0001,0,0,0,0,0,0,19.8499,0.5000
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0000,94.9999,0,0,0,0,0,0,20.0464,0.5250
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0000,95.0001,0,0,0,0,0,0,20.1917,0.5500
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0001,94.9999,0,0,0,0,0,0,20.2856,0.5750
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,94.9999,95.0000,0,0,0,0,0,0,20.3198,0.6000
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,20.2856,0.6250
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,94.9999,95.0000,0,0,0,0,0,0,20.1917,0.6500
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0000,95.0001,0,0,0,0,0,0,20.0464,0.6750
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0000,95.0001,0,0,0,0,0,0,19.8499,0.7000
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,19.6106,0.7250
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0001,94.9999,0,0,0,0,0,0,19.3457,0.7500
player,seat_older_sister,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,19.0723,0.7750
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,18.7817,-0.0250
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,18.7817,0.0000
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,18.5083,0.0250
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,18.2520,0.0500
player,seat_player,0.1130,95.0000,0.0000,0.0000,94.9999,94.9999,0,0,0,0,0,0,18.0212,0.0750
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,17.8162,0.1000
player,seat_player,0.1130,95.0000,0.0000,0.0000,94.9999,95.0000,0,0,0,0,0,0,17.6624,0.1250
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,94.9999,0,0,0,0,0,0,17.5427,0.1500
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,17.4744,0.1750
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,17.4487,0.2000
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,17.4744,0.2250
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,94.9999,0,0,0,0,0,0,17.5427,0.2500
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,95.0001,0,0,0,0,0,0,17.6624,0.2750
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0001,95.0000,0,0,0,0,0,0,17.8162,0.3000
player,seat_player,0.1130,95.0000,0.0000,0.0000,94.9999,95.0000,0,0,0,0,0,0,18.0127,0.3250
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,95.0001,0,0,0,0,0,0,18.2520,0.3500
player,seat_player,0.1130,95.0000,0.0000,0.0000,94.9999,95.0000,0,0,0,0,0,0,18.5083,0.3750
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0001,95.0000,0,0,0,0,0,0,18.7817,0.4000
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,19.0637,0.4250
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,19.3457,0.4500
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,95.0002,0,0,0,0,0,0,19.6106,0.4750
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0001,95.0000,0,0,0,0,0,0,19.8499,0.5000
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,94.9999,0,0,0,0,0,0,20.0464,0.5250
